;OUTROS MATERIAIS DE CONSUMO; 345.589,58 ; 277.138,61 ; 627.545,68 ; 357.918,76 ; 173.647,30 ; 201.822,81 ;;;;;;; 1.983.662,73 ;
;SERVIÇOS MÉDICOS; 6.857.142,53 ; 10.285.505,04 ; 11.577.007,10 ; 8.770.207,40 ; 8.708.593,21 ; 5.170.589,89 ;;;;;;; 51.369.045,17 ;
;OUTROS SERVIÇOS DE TERCEIROS; 1.422.325,27 ; 2.465.733,55 ; 2.583.274,36 ; 2.174.111,72 ; 2.040.869,80 ; 2.182.270,15 ;;;;;;; 12.868.584,85 ;
;LOCAÇÃO DE IMÓVEIS; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;; -   ;
;LOCAÇÕES DIVERSAS; 222.539,72 ; 295.108,58 ; 586.507,64 ; 230.590,28 ; 253.860,48 ; 165.099,42 ;;;;;;; 1.753.706,12 ;
;UTILIDADES PÚBLICAS; 417.740,04 ; 405.519,21 ; 591.881,97 ; 305.468,04 ; 385.671,90 ; 418.679,38 ;;;;;;; 2.524.960,55 ;
;COMBUSTÍVEL; 4.043,95 ; -   ; 10.429,73 ; 2.340,42 ; 4.819,01 ; 4.188,77 ;;;;;;; 25.821,88 ;
;BENS E MATERIAIS PERMANENTES; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;; -   ;
;OBRAS; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;; -   ;
;DESPESAS FINANCEIRAS E BANCÁRIAS; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;; -   ;
;OUTRAS DESPESAS; 640.692,39 ; 510.763,84 ; 715.347,45 ; 655.156,72 ; 456.566,70 ; 871.365,59 ;;;;;;; 3.849.892,69 ;
;AUTORIZAÇÕES JUDICIAIS; 255.716,33 ; 326.630,37 ; 346.140,60 ; 246.285,40 ; 426.156,47 ; 341.559,83 ;;;;;;; 1.942.489,00 ;
;TOTAL; 22.096.501,32 ; 26.416.586,38 ; 29.389.882,98 ; 25.347.568,53 ; 22.585.238,66 ; 21.380.031,81 ; -   ; -   ; -   ; -   ; -   ; -   ; 147.215.809,69 ;
;;;;;;;;;;;;;;;
;;VOLUME DE ATENDIMENTOS 2025;;;;;;;;;;;;;
;Descrição;TERMO DE COLABORAÇÃO Nº CBPM 001/01/2020;;;;;;;;;;;;;
;; Janeiro ; Fevereiro ; Março ; Abril ; Maio ; Junho ; Julho ; Agosto ; Setembro ; Outubro ; Novembro ; Dezembro ; TOTAL ;
;AMBULATORIAL; 48.830 ; 47.275 ; 47.461 ; 46.969 ; 35.154 ; 40.235 ;;;;;;;265.924;
;PRONTO SOCORRO; 6.246 ; 6.235 ; 8.161 ; 7.480 ; 8.828 ; 6.648 ;;;;;;;43.598;
;INTERNAÇÕES; 4.757 ; 3.627 ; 5.816 ; 4.773 ; 5.205 ; 4.219 ;;;;;;;28.397;
;OBSTETRÍCIA; 66 ; 65 ; 86 ; 77 ; 64 ; 68 ;;;;;;;426;
; CENTRO CIRÚRGICO; 813 ; 729 ; 640 ; 889 ; 709 ; 491 ;;;;;;;4.271;
;TOTAL; 60.712 ; 57.931 ; 62.164 ; 60.188 ; 49.960 ; 51.661 ;;; -   ; -   ; -   ; -   ;342.616;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
